Cancer,Comparison,Filter,Signature,gProfiler
Prostate,NormalvsStageI,Merge,ENSG00000169139;ENSG00000100330,noLink
Prostate,NormalvsStageII,Merge,ENSG00000173264;ENSG00000241852;ENSG00000221829;ENSG00000174405;ENSG00000006007;ENSG00000038945;ENSG00000143367;ENSG00000131018;ENSG00000166897;ENSG00000100300;ENSG00000164919;ENSG00000157551;ENSG00000160404;ENSG00000161180,noLink
Prostate,NormalvsStageIII,Merge,ENSG00000117625;ENSG00000140832;ENSG00000131788;ENSG00000198585;ENSG00000162227;ENSG00000176148;ENSG00000122085,noLink
Prostate,NormalvsStageIV,Merge,ENSG00000088367,noLink
