Cancer,Comparison,Filter,Signature,gProfiler
BRCA,NormalvsStageIII,Var,ENSG00000099953;ENSG00000123500;ENSG00000154263;ENSG00000165197;ENSG00000167641;ENSG00000179796;ENSG00000117650;ENSG00000145777;ENSG00000165072;ENSG00000182253;ENSG00000249669;ENSG00000137225,https://biit.cs.ut.ee/gplink/l/e1IxohUWSd
BRCA,NormalvsStageIII,Merge,ENSG00000165197;ENSG00000154736;ENSG00000161649;ENSG00000196549;ENSG00000145777;ENSG00000117650;ENSG00000182253;ENSG00000179796;ENSG00000167641;ENSG00000137225;ENSG00000099953;ENSG00000154263;ENSG00000165072;ENSG00000286214;ENSG00000187824;ENSG00000123500;ENSG00000249669,https://biit.cs.ut.ee/gplink/l/3uYLNWDESX
BRCA,NormalvsStageIV,DEG,ENSG00000099953;ENSG00000105974;ENSG00000133687;ENSG00000136158;ENSG00000137727;ENSG00000143549;ENSG00000148053;ENSG00000154263;ENSG00000154721;ENSG00000154736;ENSG00000161649;ENSG00000165072;ENSG00000165197;ENSG00000167434;ENSG00000168497;ENSG00000183155;ENSG00000187824;ENSG00000196549;ENSG00000232284;ENSG00000277631;ENSG00000286214;ENSG00000079308;ENSG00000081818;ENSG00000116711;ENSG00000119771;ENSG00000143761;ENSG00000144642;ENSG00000158850;ENSG00000160688;ENSG00000231246;ENSG00000241158;ENSG00000283383;ENSG00000229246,https://biit.cs.ut.ee/gplink/l/esC_DhpgTd
BRCA,NormalvsStageIV,Merge,ENSG00000161649;ENSG00000148053;ENSG00000183155;ENSG00000079308;ENSG00000081818;ENSG00000116711;ENSG00000099953;ENSG00000229246;ENSG00000165197;ENSG00000158850;ENSG00000232284;ENSG00000277631;ENSG00000241158;ENSG00000137727;ENSG00000133687;ENSG00000136158;ENSG00000160688;ENSG00000154721;ENSG00000165072;ENSG00000167434;ENSG00000143549;ENSG00000187824;ENSG00000105974;ENSG00000154736;ENSG00000168497;ENSG00000196549;ENSG00000144642;ENSG00000283383;ENSG00000154263;ENSG00000286214;ENSG00000231246;ENSG00000143761;ENSG00000119771,https://biit.cs.ut.ee/gplink/l/c-5kGGbSQn
LIHC,NormalvsStageI,DEG,ENSG00000114812;ENSG00000130812;ENSG00000143369;ENSG00000163217;ENSG00000130300;ENSG00000160801;ENSG00000263761,https://biit.cs.ut.ee/gplink/l/FIsa9fy5Rg
LIHC,NormalvsStageI,Var,ENSG00000157502;ENSG00000163217;ENSG00000224960;ENSG00000251199;ENSG00000253642;ENSG00000253898;ENSG00000281327;ENSG00000043355;ENSG00000117594;ENSG00000169862;ENSG00000189369;ENSG00000261761;ENSG00000285711;ENSG00000016402;ENSG00000140835;ENSG00000243620;ENSG00000100321,https://biit.cs.ut.ee/gplink/l/sA9aRA2dTE
LIHC,NormalvsStageI,Merge,ENSG00000016402;ENSG00000285711;ENSG00000263761;ENSG00000130300;ENSG00000160801;ENSG00000117594;ENSG00000100321;ENSG00000243620;ENSG00000043355;ENSG00000163217;ENSG00000114812;ENSG00000261761;ENSG00000143369;ENSG00000224960;ENSG00000251199;ENSG00000189369;ENSG00000253898;ENSG00000140835;ENSG00000157502;ENSG00000169862;ENSG00000253642;ENSG00000281327;ENSG00000130812,https://biit.cs.ut.ee/gplink/l/ID4BxW_bT7
LIHC,NormalvsStageII,DEG,ENSG00000130812;ENSG00000104938;ENSG00000146374;ENSG00000114812;ENSG00000164619;ENSG00000184374;ENSG00000263761,https://biit.cs.ut.ee/gplink/l/4v2TVgQ2TR
LIHC,NormalvsStageII,Var,ENSG00000128710;ENSG00000129009;ENSG00000163217;ENSG00000171954,https://biit.cs.ut.ee/gplink/l/SKWNEQa9RS
LIHC,NormalvsStageII,Merge,ENSG00000128710;ENSG00000104938;ENSG00000184374;ENSG00000129009;ENSG00000263761;ENSG00000164619;ENSG00000163217;ENSG00000171954;ENSG00000130812;ENSG00000114812;ENSG00000146374,https://biit.cs.ut.ee/gplink/l/bBPIwOvNTZ
LIHC,NormalvsStageIII,DEG,ENSG00000114812;ENSG00000143369;ENSG00000145824;ENSG00000163217;ENSG00000184374;ENSG00000187730;ENSG00000263761,https://biit.cs.ut.ee/gplink/l/0LVNbdyZS_
LIHC,NormalvsStageIII,Var,ENSG00000170509;ENSG00000163217;ENSG00000243694;ENSG00000263761,https://biit.cs.ut.ee/gplink/l/sJmtpQBwQd
LIHC,NormalvsStageIII,Merge,ENSG00000187730;ENSG00000184374;ENSG00000170509;ENSG00000243694;ENSG00000145824;ENSG00000263761;ENSG00000163217;ENSG00000114812;ENSG00000143369,https://biit.cs.ut.ee/gplink/l/iDDBnwvgQM
LUAD,NormalvsStageI,DEG,ENSG00000120913;ENSG00000204305;ENSG00000135604;ENSG00000197465;ENSG00000213853,https://biit.cs.ut.ee/gplink/l/9_eglzKRRj
LUAD,NormalvsStageI,Var,ENSG00000070778;ENSG00000135604;ENSG00000204305;ENSG00000213853;ENSG00000102683;ENSG00000197465;ENSG00000205213,https://biit.cs.ut.ee/gplink/l/qg8giQjDQf
LUAD,NormalvsStageI,Merge,ENSG00000070778;ENSG00000135604;ENSG00000205213;ENSG00000197465;ENSG00000120913;ENSG00000213853;ENSG00000204305;ENSG00000102683,https://biit.cs.ut.ee/gplink/l/ABvNM7WVR8
LUAD,NormalvsStageII,DEG,ENSG00000022267;ENSG00000102683;ENSG00000112782;ENSG00000114854;ENSG00000135604;ENSG00000140600;ENSG00000163815;ENSG00000183010;ENSG00000197465;ENSG00000204305;ENSG00000213853;ENSG00000234281;ENSG00000147526;ENSG00000147689;ENSG00000204949,https://biit.cs.ut.ee/gplink/l/4_QpEEO7TE
LUAD,NormalvsStageII,Var,ENSG00000187134;ENSG00000197415;ENSG00000272620,https://biit.cs.ut.ee/gplink/l/W81zxJBaSt
LUAD,NormalvsStageII,Merge,ENSG00000187134;ENSG00000135604;ENSG00000197415;ENSG00000204949;ENSG00000197465;ENSG00000213853;ENSG00000272620;ENSG00000204305;ENSG00000112782;ENSG00000102683;ENSG00000163815;ENSG00000114854;ENSG00000022267;ENSG00000234281;ENSG00000183010;ENSG00000147526;ENSG00000147689;ENSG00000140600,https://biit.cs.ut.ee/gplink/l/H399cACSTx
LUAD,NormalvsStageIII,DEG,ENSG00000077522;ENSG00000177098;ENSG00000197465;ENSG00000266524;ENSG00000183010,https://biit.cs.ut.ee/gplink/l/P4xLi2dlT8
LUAD,NormalvsStageIII,Var,ENSG00000102104;ENSG00000134548;ENSG00000180440;ENSG00000034971;ENSG00000140505,https://biit.cs.ut.ee/gplink/l/i-08f3hDSP
LUAD,NormalvsStageIII,Merge,ENSG00000177098;ENSG00000102104;ENSG00000134548;ENSG00000197465;ENSG00000077522;ENSG00000266524;ENSG00000180440;ENSG00000140505;ENSG00000183010;ENSG00000034971,https://biit.cs.ut.ee/gplink/l/KLTGUUvYQv
LUAD,NormalvsStageIV,DEG,ENSG00000024422;ENSG00000066405;ENSG00000072163;ENSG00000072657;ENSG00000079308;ENSG00000087589;ENSG00000088926;ENSG00000095370;ENSG00000095713;ENSG00000096088;ENSG00000101331;ENSG00000101407;ENSG00000102683;ENSG00000103241;ENSG00000104967;ENSG00000105538;ENSG00000105971;ENSG00000105974;ENSG00000114790;ENSG00000114854;ENSG00000115368;ENSG00000117245;ENSG00000118526;ENSG00000119457;ENSG00000120913;ENSG00000122694;ENSG00000125810;ENSG00000126602;ENSG00000128050;ENSG00000131055;ENSG00000131471;ENSG00000131831;ENSG00000132622;ENSG00000134917;ENSG00000135052;ENSG00000135063;ENSG00000138670;ENSG00000138772;ENSG00000140505;ENSG00000140600;ENSG00000141161;ENSG00000143590;ENSG00000144381;ENSG00000147689;ENSG00000149403;ENSG00000149557;ENSG00000154188;ENSG00000154342;ENSG00000154783;ENSG00000155660;ENSG00000157554;ENSG00000157654;ENSG00000159708;ENSG00000163815;ENSG00000164188;ENSG00000165197;ENSG00000166965;ENSG00000167641;ENSG00000168309;ENSG00000168481;ENSG00000168484;ENSG00000168497;ENSG00000168539;ENSG00000168907;ENSG00000169744;ENSG00000175899;ENSG00000178726;ENSG00000179776;ENSG00000183010;ENSG00000183087;ENSG00000186198;ENSG00000186994;ENSG00000189129;ENSG00000197256;ENSG00000197415;ENSG00000197471;ENSG00000198844;ENSG00000198873;ENSG00000204305;ENSG00000204949;ENSG00000206384;ENSG00000213853;ENSG00000214491;ENSG00000224215;ENSG00000227307;ENSG00000228288;ENSG00000228401;ENSG00000229619;ENSG00000237167;ENSG00000237413;ENSG00000246430;ENSG00000248551;ENSG00000258947;ENSG00000261671;ENSG00000263155;ENSG00000268388;ENSG00000271447;ENSG00000277494;ENSG00000281852;ENSG00000111339;ENSG00000112214;ENSG00000115361;ENSG00000116016;ENSG00000116667;ENSG00000131097;ENSG00000134020;ENSG00000134115;ENSG00000136546;ENSG00000137135;ENSG00000148488;ENSG00000154764;ENSG00000156052;ENSG00000158246;ENSG00000163501;ENSG00000163788;ENSG00000164879;ENSG00000168743;ENSG00000171101;ENSG00000171885;ENSG00000176435;ENSG00000183607;ENSG00000183807;ENSG00000189292;ENSG00000196549;ENSG00000205213;ENSG00000234281;ENSG00000244280;ENSG00000254447;ENSG00000276668;ENSG00000278259;ENSG00000287115;ENSG00000065534;ENSG00000101335;ENSG00000114654;ENSG00000125414;ENSG00000166482,https://biit.cs.ut.ee/gplink/l/lWH-mQO7RN
LUAD,NormalvsStageIV,Merge,ENSG00000159708;ENSG00000131097;ENSG00000114790;ENSG00000125810;ENSG00000126602;ENSG00000237167;ENSG00000138772;ENSG00000198844;ENSG00000258947;ENSG00000154764;ENSG00000087589;ENSG00000168481;ENSG00000166965;ENSG00000101407;ENSG00000024422;ENSG00000154783;ENSG00000277494;ENSG00000179776;ENSG00000213853;ENSG00000167641;ENSG00000155660;ENSG00000169744;ENSG00000147689;ENSG00000183087;ENSG00000105974;ENSG00000134917;ENSG00000105538;ENSG00000118526;ENSG00000183807;ENSG00000163815;ENSG00000263155;ENSG00000140600;ENSG00000278259;ENSG00000166482;ENSG00000120913;ENSG00000114854;ENSG00000229619;ENSG00000197471;ENSG00000111339;ENSG00000186198;ENSG00000116667;ENSG00000134020;ENSG00000224215;ENSG00000115361;ENSG00000095713;ENSG00000122694;ENSG00000103241;ENSG00000183010;ENSG00000234281;ENSG00000178726;ENSG00000206384;ENSG00000227307;ENSG00000144381;ENSG00000104967;ENSG00000095370;ENSG00000088926;ENSG00000168743;ENSG00000163788;ENSG00000149403;ENSG00000101331;ENSG00000228288;ENSG00000065534;ENSG00000117245;ENSG00000268388;ENSG00000154188;ENSG00000066405;ENSG00000168309;ENSG00000197256;ENSG00000079308;ENSG00000138670;ENSG00000119457;ENSG00000168539;ENSG00000186994;ENSG00000140505;ENSG00000183607;ENSG00000072657;ENSG00000204305;ENSG00000281852;ENSG00000198873;ENSG00000128050;ENSG00000189129;ENSG00000115368;ENSG00000157654;ENSG00000176435;ENSG00000228401;ENSG00000156052;ENSG00000261671;ENSG00000137135;ENSG00000164879;ENSG00000105971;ENSG00000141161;ENSG00000197415;ENSG00000168497;ENSG00000205213;ENSG00000196549;ENSG00000135052;ENSG00000154342;ENSG00000101335;ENSG00000136546;ENSG00000246430;ENSG00000171885;ENSG00000287115;ENSG00000125414;ENSG00000131471;ENSG00000171101;ENSG00000132622;ENSG00000276668;ENSG00000072163;ENSG00000158246;ENSG00000248551;ENSG00000165197;ENSG00000175899;ENSG00000204949;ENSG00000096088;ENSG00000168484;ENSG00000116016;ENSG00000135063;ENSG00000168907;ENSG00000131831;ENSG00000134115;ENSG00000157554;ENSG00000271447;ENSG00000148488;ENSG00000131055;ENSG00000244280;ENSG00000254447;ENSG00000237413;ENSG00000163501;ENSG00000164188;ENSG00000189292;ENSG00000214491;ENSG00000112214;ENSG00000114654;ENSG00000102683;ENSG00000149557;ENSG00000143590,https://biit.cs.ut.ee/gplink/l/Bi7qWM5yR1
KIRC,NormalvsStageI,DEG,ENSG00000105929;ENSG00000147614;ENSG00000170561;ENSG00000180251;ENSG00000214128,https://biit.cs.ut.ee/gplink/l/AP3UrdxDQ-
KIRC,NormalvsStageI,Var,ENSG00000124157;ENSG00000161992;ENSG00000168619;ENSG00000223783;ENSG00000228055;ENSG00000250529;ENSG00000254789;ENSG00000257191;ENSG00000248517;ENSG00000261250,https://biit.cs.ut.ee/gplink/l/tdjqwv1ORz
KIRC,NormalvsStageI,Merge,ENSG00000168619;ENSG00000170561;ENSG00000250529;ENSG00000257191;ENSG00000248517;ENSG00000147614;ENSG00000161992;ENSG00000228055;ENSG00000124157;ENSG00000254789;ENSG00000223783;ENSG00000180251;ENSG00000105929;ENSG00000261250;ENSG00000214128,https://biit.cs.ut.ee/gplink/l/HGVJJaNbSW
KIRC,NormalvsStageII,DEG,ENSG00000014257;ENSG00000074803;ENSG00000082684;ENSG00000104332;ENSG00000105929;ENSG00000113889;ENSG00000115616;ENSG00000117595;ENSG00000124157;ENSG00000130829;ENSG00000147606;ENSG00000147614;ENSG00000151090;ENSG00000151418;ENSG00000151704;ENSG00000151715;ENSG00000151834;ENSG00000164007;ENSG00000165125;ENSG00000167580;ENSG00000168269;ENSG00000168907;ENSG00000169344;ENSG00000169550;ENSG00000171004;ENSG00000177807;ENSG00000179399;ENSG00000184012;ENSG00000185133;ENSG00000187889;ENSG00000197565;ENSG00000227338;ENSG00000235280;ENSG00000248517;ENSG00000249601;ENSG00000258402;ENSG00000273335;ENSG00000275612;ENSG00000276668;ENSG00000132677;ENSG00000183378,https://biit.cs.ut.ee/gplink/l/SeQzOSjpSy
KIRC,NormalvsStageII,Var,ENSG00000168619;ENSG00000164616;ENSG00000166405;ENSG00000277883;ENSG00000286684;ENSG00000167580;ENSG00000285640;ENSG00000257634,https://biit.cs.ut.ee/gplink/l/nS0znUY_RS
KIRC,NormalvsStageII,Merge,ENSG00000164007;ENSG00000168619;ENSG00000197565;ENSG00000177807;ENSG00000147614;ENSG00000276668;ENSG00000187889;ENSG00000164616;ENSG00000185133;ENSG00000183378;ENSG00000277883;ENSG00000227338;ENSG00000171004;ENSG00000169344;ENSG00000117595;ENSG00000166405;ENSG00000082684;ENSG00000132677;ENSG00000151704;ENSG00000151715;ENSG00000249601;ENSG00000168907;ENSG00000124157;ENSG00000167580;ENSG00000285640;ENSG00000115616;ENSG00000169550;ENSG00000258402;ENSG00000168269;ENSG00000248517;ENSG00000235280;ENSG00000104332;ENSG00000286684;ENSG00000105929;ENSG00000151834;ENSG00000074803;ENSG00000113889;ENSG00000014257;ENSG00000147606;ENSG00000257634;ENSG00000130829;ENSG00000179399;ENSG00000165125;ENSG00000151090;ENSG00000275612;ENSG00000273335;ENSG00000184012;ENSG00000151418,https://biit.cs.ut.ee/gplink/l/zJKB45LaQc
KIRC,NormalvsStageIII,DEG,ENSG00000124157;ENSG00000134574;ENSG00000179399;ENSG00000163399;ENSG00000008196;ENSG00000011376;ENSG00000061656;ENSG00000086159;ENSG00000113889;ENSG00000119715;ENSG00000126878;ENSG00000130829;ENSG00000151704;ENSG00000170231;ENSG00000170561;ENSG00000177807;ENSG00000183844;ENSG00000188488;ENSG00000196767;ENSG00000197565;ENSG00000198780;ENSG00000226887;ENSG00000233154;ENSG00000257588;ENSG00000277268;ENSG00000277639,https://biit.cs.ut.ee/gplink/l/dWZ13bJ0R4
KIRC,NormalvsStageIII,Var,ENSG00000129521;ENSG00000151418;ENSG00000180251;ENSG00000188175;ENSG00000107159;ENSG00000161992,https://biit.cs.ut.ee/gplink/l/2hDDEDMpRg
KIRC,NormalvsStageIII,Merge,ENSG00000086159;ENSG00000233154;ENSG00000107159;ENSG00000197565;ENSG00000177807;ENSG00000198780;ENSG00000196767;ENSG00000134574;ENSG00000151704;ENSG00000226887;ENSG00000124157;ENSG00000188175;ENSG00000183844;ENSG00000061656;ENSG00000163399;ENSG00000277268;ENSG00000257588;ENSG00000180251;ENSG00000008196;ENSG00000113889;ENSG00000130829;ENSG00000179399;ENSG00000170561;ENSG00000129521;ENSG00000011376;ENSG00000277639;ENSG00000161992;ENSG00000188488;ENSG00000170231;ENSG00000119715;ENSG00000126878;ENSG00000151418,https://biit.cs.ut.ee/gplink/l/5Vkfyuw4RF
KIRC,NormalvsStageIV,DEG,ENSG00000074803;ENSG00000167580;ENSG00000179399;ENSG00000183378;ENSG00000275612;ENSG00000276668,https://biit.cs.ut.ee/gplink/l/qjINouhCQV
KIRC,NormalvsStageIV,Var,ENSG00000151418;ENSG00000173253;ENSG00000180251;ENSG00000188175;ENSG00000276668;ENSG00000281769;ENSG00000162399;ENSG00000249601;ENSG00000267259;ENSG00000268416;ENSG00000156284;ENSG00000168269;ENSG00000214128,https://biit.cs.ut.ee/gplink/l/52j0N32ESr
KIRC,NormalvsStageIV,Merge,ENSG00000168269;ENSG00000179399;ENSG00000281769;ENSG00000214128;ENSG00000156284;ENSG00000173253;ENSG00000275612;ENSG00000276668;ENSG00000162399;ENSG00000249601;ENSG00000267259;ENSG00000268416;ENSG00000183378;ENSG00000188175;ENSG00000180251;ENSG00000167580;ENSG00000074803;ENSG00000151418,https://biit.cs.ut.ee/gplink/l/Q89UR98wSO
HNSC,NormalvsStageI,DEG,ENSG00000142973;ENSG00000175806;ENSG00000152642,https://biit.cs.ut.ee/gplink/l/bYFrCIr6TL
HNSC,NormalvsStageI,Merge,ENSG00000142973;ENSG00000152642;ENSG00000175806,https://biit.cs.ut.ee/gplink/l/AIPYGGGZTC
HNSC,NormalvsStageII,DEG,ENSG00000025423;ENSG00000102547;ENSG00000111206;ENSG00000152642;ENSG00000198478,https://biit.cs.ut.ee/gplink/l/1jmuxgszSB
HNSC,NormalvsStageII,Var,ENSG00000037965;ENSG00000150672,https://biit.cs.ut.ee/gplink/l/sBFz0r4xSR
HNSC,NormalvsStageII,Merge,ENSG00000037965;ENSG00000025423;ENSG00000111206;ENSG00000150672;ENSG00000102547;ENSG00000152642;ENSG00000198478,https://biit.cs.ut.ee/gplink/l/6wE7cbHfR1
HNSC,NormalvsStageIII,DEG,ENSG00000142973,https://biit.cs.ut.ee/gplink/l/9D-sOlXiRL
HNSC,NormalvsStageIII,Var,ENSG00000183347;ENSG00000238125;ENSG00000273706;ENSG00000176092;ENSG00000178222;ENSG00000288047;ENSG00000135476;ENSG00000250874;ENSG00000163121,https://biit.cs.ut.ee/gplink/l/h5rXYgaOQ9
HNSC,NormalvsStageIII,Merge,ENSG00000288047;ENSG00000142973;ENSG00000273706;ENSG00000250874;ENSG00000176092;ENSG00000135476;ENSG00000238125;ENSG00000178222;ENSG00000183347;ENSG00000163121,https://biit.cs.ut.ee/gplink/l/NcIj-v6PS4
HNSC,NormalvsStageIV,DEG,ENSG00000102547;ENSG00000150672;ENSG00000198478;ENSG00000130309,https://biit.cs.ut.ee/gplink/l/P_x1tB5PTy
HNSC,NormalvsStageIV,Var,ENSG00000099953;ENSG00000150672;ENSG00000181092;ENSG00000196616;ENSG00000128713;ENSG00000244128;ENSG00000281386,https://biit.cs.ut.ee/gplink/l/clsFK1CnTX
HNSC,NormalvsStageIV,Merge,ENSG00000130309;ENSG00000181092;ENSG00000281386;ENSG00000150672;ENSG00000196616;ENSG00000128713;ENSG00000102547;ENSG00000099953;ENSG00000244128;ENSG00000198478,https://biit.cs.ut.ee/gplink/l/ckSKDUiOSN
