Cancer,Comparison,Filter,Signature,gProfiler
UCEC,NormalvsStageIII,DEG,ENSG00000007968;ENSG00000013810;ENSG00000029993;ENSG00000051180;ENSG00000051341;ENSG00000065328;ENSG00000068489;ENSG00000069535;ENSG00000075218;ENSG00000076382;ENSG00000077152;ENSG00000087586;ENSG00000088305;ENSG00000088325;ENSG00000089685;ENSG00000091651;ENSG00000093009;ENSG00000094804;ENSG00000100307;ENSG00000100526;ENSG00000101003;ENSG00000101057;ENSG00000105011;ENSG00000105173;ENSG00000106462;ENSG00000111665;ENSG00000114698;ENSG00000115163;ENSG00000117399;ENSG00000121152;ENSG00000122952;ENSG00000123485;ENSG00000127423;ENSG00000128165;ENSG00000128944;ENSG00000129810;ENSG00000134057;ENSG00000134533;ENSG00000134690;ENSG00000135451;ENSG00000135476;ENSG00000138092;ENSG00000140534;ENSG00000142657;ENSG00000142945;ENSG00000143228;ENSG00000145979;ENSG00000146410;ENSG00000146670;ENSG00000151725;ENSG00000152253;ENSG00000154839;ENSG00000157456;ENSG00000158402;ENSG00000162062;ENSG00000162063;ENSG00000164087;ENSG00000164611;ENSG00000165304;ENSG00000165480;ENSG00000166803;ENSG00000166851;ENSG00000169679;ENSG00000171241;ENSG00000171848;ENSG00000175063;ENSG00000178999;ENSG00000186185;ENSG00000189159;ENSG00000196616;ENSG00000198932;ENSG00000225398;ENSG00000237649;ENSG00000245025;ENSG00000248309;ENSG00000258808;ENSG00000280339;ENSG00000101447;ENSG00000112742;ENSG00000123975;ENSG00000126787;ENSG00000129195;ENSG00000138160;ENSG00000149554;ENSG00000161888;ENSG00000166451;ENSG00000168496;ENSG00000170271;ENSG00000175395;ENSG00000182481;ENSG00000184661;ENSG00000197776;ENSG00000198826;ENSG00000273348;ENSG00000085840;ENSG00000143590;ENSG00000145681;ENSG00000117724;ENSG00000138180;ENSG00000154920;ENSG00000276043;ENSG00000282840,https://biit.cs.ut.ee/gplink/l/gw39-LCXTu
UCEC,NormalvsStageIII,Var,ENSG00000013810;ENSG00000024526;ENSG00000101057;ENSG00000105011;ENSG00000112742;ENSG00000112984;ENSG00000117399;ENSG00000122952;ENSG00000123473;ENSG00000123485;ENSG00000123975;ENSG00000134057;ENSG00000135451;ENSG00000154839;ENSG00000158402;ENSG00000162062;ENSG00000175063;ENSG00000183856;ENSG00000248309;ENSG00000204071;ENSG00000197083;ENSG00000089685;ENSG00000102271;ENSG00000108381,https://biit.cs.ut.ee/gplink/l/LX5crDkjQM
UCEC,NormalvsStageIII,Merge,ENSG00000138180;ENSG00000129810;ENSG00000145681;ENSG00000068489;ENSG00000108381;ENSG00000168496;ENSG00000198932;ENSG00000276043;ENSG00000007968;ENSG00000114698;ENSG00000105173;ENSG00000101447;ENSG00000165480;ENSG00000237649;ENSG00000248309;ENSG00000134690;ENSG00000145979;ENSG00000140534;ENSG00000164611;ENSG00000146670;ENSG00000158402;ENSG00000149554;ENSG00000134533;ENSG00000164087;ENSG00000166851;ENSG00000121152;ENSG00000225398;ENSG00000112984;ENSG00000138092;ENSG00000128165;ENSG00000204071;ENSG00000091651;ENSG00000123975;ENSG00000162063;ENSG00000065328;ENSG00000143590;ENSG00000094804;ENSG00000105011;ENSG00000146410;ENSG00000117724;ENSG00000122952;ENSG00000161888;ENSG00000157456;ENSG00000171848;ENSG00000135476;ENSG00000186185;ENSG00000111665;ENSG00000115163;ENSG00000165304;ENSG00000127423;ENSG00000129195;ENSG00000123485;ENSG00000184661;ENSG00000123473;ENSG00000076382;ENSG00000197083;ENSG00000117399;ENSG00000175063;ENSG00000280339;ENSG00000088325;ENSG00000166803;ENSG00000198826;ENSG00000089685;ENSG00000102271;ENSG00000135451;ENSG00000171241;ENSG00000143228;ENSG00000273348;ENSG00000075218;ENSG00000169679;ENSG00000138160;ENSG00000162062;ENSG00000197776;ENSG00000106462;ENSG00000166451;ENSG00000170271;ENSG00000100526;ENSG00000077152;ENSG00000128944;ENSG00000182481;ENSG00000196616;ENSG00000112742;ENSG00000126787;ENSG00000087586;ENSG00000189159;ENSG00000100307;ENSG00000142657;ENSG00000029993;ENSG00000051180;ENSG00000051341;ENSG00000183856;ENSG00000154839;ENSG00000101003;ENSG00000178999;ENSG00000093009;ENSG00000085840;ENSG00000154920;ENSG00000088305;ENSG00000142945;ENSG00000134057;ENSG00000282840;ENSG00000101057;ENSG00000152253;ENSG00000245025;ENSG00000175395;ENSG00000024526;ENSG00000069535;ENSG00000151725;ENSG00000013810;ENSG00000258808,https://biit.cs.ut.ee/gplink/l/KlkBz2BDR5
BRCA,NormalvsStageI,DEG,ENSG00000154736;ENSG00000163431;ENSG00000165197;ENSG00000177098;ENSG00000286214,https://biit.cs.ut.ee/gplink/l/nPVrXNdhSJ
BRCA,NormalvsStageI,Var,ENSG00000092068;ENSG00000099953;ENSG00000123500;ENSG00000132561;ENSG00000145777;ENSG00000165197;ENSG00000249669;ENSG00000286289;ENSG00000137225;ENSG00000276365;ENSG00000091704;ENSG00000180914;ENSG00000230838,https://biit.cs.ut.ee/gplink/l/DrC7JSjkTF
BRCA,NormalvsStageI,Merge,ENSG00000165197;ENSG00000177098;ENSG00000154736;ENSG00000286289;ENSG00000092068;ENSG00000132561;ENSG00000145777;ENSG00000276365;ENSG00000180914;ENSG00000230838;ENSG00000163431;ENSG00000137225;ENSG00000099953;ENSG00000286214;ENSG00000249669;ENSG00000091704;ENSG00000123500,https://biit.cs.ut.ee/gplink/l/JuS6nFYOQN
BRCA,NormalvsStageII,DEG,ENSG00000099953;ENSG00000137727;ENSG00000165197;ENSG00000286214;ENSG00000161649;ENSG00000168497;ENSG00000154736;ENSG00000136158;ENSG00000177098;ENSG00000145777,https://biit.cs.ut.ee/gplink/l/u3Z0cJ6WTQ
BRCA,NormalvsStageII,Var,ENSG00000099953;ENSG00000117650;ENSG00000154263;ENSG00000154736;ENSG00000165197;ENSG00000167434;ENSG00000230838;ENSG00000123500;ENSG00000137225;ENSG00000179796;ENSG00000248869;ENSG00000286289,https://biit.cs.ut.ee/gplink/l/2-idrvfsSk
BRCA,NormalvsStageII,Merge,ENSG00000177098;ENSG00000161649;ENSG00000137225;ENSG00000099953;ENSG00000165197;ENSG00000286289;ENSG00000137727;ENSG00000230838;ENSG00000117650;ENSG00000136158;ENSG00000248869;ENSG00000167434;ENSG00000123500;ENSG00000154736;ENSG00000168497;ENSG00000145777;ENSG00000179796;ENSG00000154263;ENSG00000286214,https://biit.cs.ut.ee/gplink/l/1pJgmeXxSl
BRCA,NormalvsStageIII,DEG,ENSG00000123500;ENSG00000154736;ENSG00000161649;ENSG00000196549;ENSG00000286214;ENSG00000099953;ENSG00000187824,https://biit.cs.ut.ee/gplink/l/VManjYPxQI
